dataset_identifier,data_repository,dataset_webpage,source_url
EGAS00001000925,https://ega-archive.org/datasets/EGAS00001000925,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861069
GSE69091,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69091,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861069
EGAS50000000169,https://ega-archive.org/studies/EGAS50000000169,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10972747
phs003416.v1.p1,dbGaP,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
GSE241673,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241673,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
EGAS00001000925,https://ega-archive.org/datasets/EGAS00001000925,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
EGAS00001004888,https://ega-archive.org/datasets/EGAS00001004888,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990
n/a,www.ncbi.nlm.nih.gov,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860
EGAS00001000334,https://ega-archive.org/,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3557461
phs001249.v1.p1,dbGaP,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5313262
GSE60052,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60052,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692
phs001083.v1.p1,http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001083.v1.p1,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692
PHS001049,https://www.ncbi.nlm.nih.gov/gap/?term=PHS001049,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6141466
PRJNA306801,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA306801,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6141466
phs001366.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001366.v1.p1,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460863
EGAS00001000299,https://ega-archive.org/datasets/EGAS00001000299,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4915822
phs001823.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001823.v1.p1,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11061608
SRP052896,https://www.ncbi.nlm.nih.gov/sra?term=SRP052896,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11061608
n/a,https://data.broadinstitute.org/ccle_legacy_data/mRNA_expression/,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11061608
PXD029805,proteomecentral.proteomexchange.org,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD029805,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9506422
10.6019/PXD029805,proteomecentral.proteomexchange.org,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=10.6019/PXD029805,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9506422
PXD029821,proteomecentral.proteomexchange.org,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD029821,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9506422
10.6019/PXD029821,proteomecentral.proteomexchange.org,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=10.6019/PXD029821,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9506422
PXD030304,proteomecentral.proteomexchange.org,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD030304,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
n/a,https://cellmodelpassports.sanger.ac.uk,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
n/a,cancerrxgene.org,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
n/a,depmap.org,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
n/a,score.depmap.sanger.ac.uk,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
n/a,ocg.cancer.gov/programs/ctd2/data-portal,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
GSE43346,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43346,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3665955
GSE138474,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138474,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7842382
n/a,https://gygi.med.harvard.edu/publications/ccle,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339254
n/a,https://depmap.org,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339254
PXD053567,http://www.ebi.ac.uk/pride/archive/,https://www.ebi.ac.uk/pride/archive/projects/PXD053567,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/
MSV000092944,https://massive.ucsd.edu/,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11425778/
PXD052949,https://www.proteomexchange.org/,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/
6077-6129,https://assays.cancer.gov/available_assays,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/
n/a,https://clinicaltrials.gov/ct2/show/NCT01226316,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/
