link,source_section,source_url,surrounding_text,download_link,file_extension,content_type,dataset_identifier,data_repository,dataset_webpage,title,id,description
https://pmc.ncbi.nlm.nih.gov/articles/instance/4861069/bin/NIHMS782739-supplement-Tables.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861069,,https://pmc.ncbi.nlm.nih.gov/articles/instance/4861069/bin/NIHMS782739-supplement-Tables.xlsx,xlsx,,,,,,,
https://ega-archive.org/studies/EGAS50000000169,data availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10972747,,,,data_link,EGAS50000000169,https://ega-archive.org/studies/EGAS50000000169,na,,,
http://www.uni-koeln.de/med-fak/peiflyne/peiflyne.tgz,data availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10972747,,,,data_link,peiflyne.tgz,http://www.uni-koeln.de/med-fak/peiflyne/,na,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10972747#Sec9,data availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10972747,,,,data_link,peiflyne.tgz,http://www.uni-koeln.de/med-fak/peiflyne/peiflyne.tgz,na,,,
41586_2024_7177_MOESM4_ESM.xlsx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10972747,Supplementary Tables Supplementary Tables 1–12.,https://pmc.ncbi.nlm.nih.gov/articles/instance/10972747/bin/41586_2024_7177_MOESM4_ESM.xlsx,xlsx,local-data,,,,No Title,MOESM4,Supplementary Tables 1–12.
41586_2024_7177_MOESM4_ESM.xlsx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10972747,Supplementary Tables Supplementary Tables 1–12.,https://pmc.ncbi.nlm.nih.gov/articles/instance/10972747/bin/41586_2024_7177_MOESM4_ESM.xlsx,xlsx,local-data,,,,No Title,MOESM4,Supplementary Tables 1–12.
https://github.com/MD-Anderson-Bioinformatics/SCLC_Subtyping,data availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,,,,data_link,SCLC_Subtyping,https://github.com/MD-Anderson-Bioinformatics/SCLC_Subtyping,na,,,
https://www.ncbi.nlm.nih.gov/gap/,data availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,,,,data_link,phs003416.v1.p1,https://www.ncbi.nlm.nih.gov/gap/,na,,,
https://www.ncbi.nlm.nih.gov/geo/,data availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,,,,data_link,phs003416.v1.p1,https://www.ncbi.nlm.nih.gov/gap/,na,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990#SD1,data availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,,,,data_link,phs003416.v1.p1,https://www.ncbi.nlm.nih.gov/gap/,na,,,
