0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,PXD053567,https://www.ebi.ac.uk/pride/archive/projects/PXD053567,http://www.ebi.ac.uk/pride/archive/
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11425778/,MSV000092944,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092944,massive.ucsd.edu
4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,PXD052949,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.proteomexchange.org/
26,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,PXD045268,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD045268,proteomecentral.proteomexchange.org
57,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,JPST002506,na,ProteomeXchangeConsortiumviathejPOSTpartnerrepository
60,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309
65,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/,10.6019/PXD047284,na,https://www.proteomexchange.org
66,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,PXD042233,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233
85,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,PDC IDs,na,https://pdc.cancer.gov/pdc/
86,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,DOIs listed in the key resources table,na,MendeleyData
87,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,Not applicable,na,Notapplicable
98,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11423856/,IPX0004230000,na,http://www.iprox.org
105,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,MSV000092248,na,http://proteomecentral.proteomexchange.org
106,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,7ZWE,https://doi.org/10.2210/pdb7ZWE/pdb,doi.org
107,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,7A4Q,https://doi.org/10.2210/pdb7A4Q/pdb,doi.org
108,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,7ZWG,https://doi.org/10.2210/pdb7ZWG/pdb,doi.org
