['mmc2.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11462282']
['tcga', 'portal.gdc.cancer.gov', 'PMC11462282']
['mmc6.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11462282']
['mmc1.pdf', 'www.ncbi.nlm.nih.gov', 'PMC11462282']
['pmc11462282', 'www.ncbi.nlm.nih.gov', 'PMC11462282']
['mmc8.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11462282']
['mmc4.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11462282']
['pmid:39386942', 'pubmed.ncbi.nlm.nih.gov', 'PMC11462282']
['mmc5.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11462282']
['mmc7.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11462282']
['mmc3.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11462282']
['doi:10.1016/j.csbj.2024.09.011', 'doi.org', 'PMC11462282']
['pbmc10k', 'github.com', 'PMC11463607']
['h19.30.001', 'sea-ad amazon aws bucket  provided by seattle alzheimer’s disease brain cell atlas ', 'PMC11463607']
['gse178317', 'geo', 'PMC11463607']
['h19.33.004', 'sea-ad amazon aws bucket  provided by seattle alzheimer’s disease brain cell atlas ', 'PMC11463607']
['30m', 'cellxgene.cziscience.com', 'PMC11463607']
['lits', 'competitions.codalab.org', 'PMC11465928']
['chaos', 'chaos.grand-challenge.org', 'PMC11465928']
['pgen.1011412.s001.tif', 'www.ncbi.nlm.nih.gov', 'PMC11466430']
['pgen.1011412.s003.tif', 'www.ncbi.nlm.nih.gov', 'PMC11466430']
['pgen.1011412.s006.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11466430']
['pgen.1011412.s002.tif', 'www.ncbi.nlm.nih.gov', 'PMC11466430']
['pgen.1011412.s004.tif', 'www.ncbi.nlm.nih.gov', 'PMC11466430']
['pgen.1011412.s008.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11466430']
['pgen.1011412.s010.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11466430']
['pgen.1011412.s007.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11466430']
['pgen.1011412.s009.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11466430']
['suwonglab/carrier-stat', 'github.com', 'PMC11466430']
['pgen.1011412.s005.tif', 'www.ncbi.nlm.nih.gov', 'PMC11466430']
['alz-20-6243-s003.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC11497642']
['pmc11497642', 'pmc.ncbi.nlm.nih.gov', 'PMC11497642']
['alz-20-6243-s002.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC11497642']
['alz-20-6243-s001.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC11497642']
['pmid:39023044', 'pubmed.ncbi.nlm.nih.gov', 'PMC11497642']
['10.57718/agora-adknowledgeportal', 'doi.org', 'PMC11497642']
['10.1101/2024.10.14.618253', 'doi.org', 'PMC11507780']
['media-1.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC11507780']
['insight', nan, 'PMC11527220']
['xqtlserve', 'mostafavilab.stat.ubc.ca', 'PMC11527220']
['gse178265', 'geo', 'PMC11527220']
['gcst007780', 'www.ebi.ac.uk', 'PMC11527220']
['metabrain', 'metabrain.nl', 'PMC11527220']
['pdnetworks', 'github.com', 'PMC11527220']
['cis_sqtl', 'yanglab.westlake.edu.cn', 'PMC11527220']
['gcst009325', 'www.ebi.ac.uk', 'PMC11527220']
['gse178317', 'geo', 'PMC11527241']
['ng00108', 'www.niagads.org', 'PMC11527241']
['jhu-usc.edu_pancan_humanmethylation450.betavalue_whitelisted.tsv.synapse_download_5096262.xena', 'synapse.org', 'PMC11540438']
['fuhailiailab/mosgraphgen', 'github.com', 'PMC11540438']
['tcga_phenotype_densedataonlydownload.tsv', 'xenabrowser.net', 'PMC11540438']
['tcga-rppa-pancan-clean.xena', 'xenabrowser.net', 'PMC11540438']
['tcgasubtype.20170308.tsv', 'xenabrowser.net', 'PMC11540438']
['gpl16304', 'geo', 'PMC11540438']
['tcga_rsem_gene_fpkm', 'xenabrowser.net', 'PMC11540438']
['survival_supplementaltable_s1_20171025_xena_sp', 'xenabrowser.net', 'PMC11540438']
['subtype_immune_model_based.txt', 'xenabrowser.net', 'PMC11540438']
